position,dates,ids,genres,titles,authors,lavin_genres,big_genres,labels
3,1764,4,teamred | pbgothic | stew | lavin_ghost,The+castle+of+Otranto%3B,Walpole%2C+Horace%2C,lavin_ghost,gothic,15
6,1777,7,teamblack | pbgothic | lavin_ghost,The+old+English+baron,Reeve%2C+Clara%2C,lavin_ghost,gothic,12
10,1785,11,teamblack | pbgothic | stew | lavin_deranged,The+recess%3B,Lee%2C+Sophia%2C,lavin_deranged,gothic,4
12,1786,13,teamblack | pbgothic | stew | lavin_magic,Vathek,Beckford%2C+William%2C,lavin_magic,gothic,5
14,1788,15,teamblack | pbgothic | stew | lavin_deranged,Emmeline,Smith%2C+Charlotte%2C,lavin_deranged,gothic,3
15,1788,16,teamred | pbgothic | stew | lavin_deranged,Emmeline,Smith%2C+Charlotte%2C,lavin_deranged,gothic,3
17,1790,18,teamred | pbgothic | stew | lavin_deranged,A+Sicilian+romance,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
19,1790,20,teamred | pbgothic | stew | lavin_deranged,A+Sicilian+romance,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
21,1791,22,teamblack | stangothic,The+school+for+widows,Reeve%2C+Clara%2C,no_lavin_tag,gothic,3
22,1791,23,teamblack | pbgothic | stew | lavin_deranged,The+romance+of+the+forest,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
23,1794,24,teamred | pbgothic | stew | lavin_deranged,The+adventures+of+Caleb+W,Godwin%2C+William%2C,lavin_deranged,gothic,7
26,1794,27,teamblack | pbgothic | stew,The+mysteries+of+Udolpho,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,5
27,1794,28,teamred | pbgothic,The+mysteries+of+Udolpho,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,0
30,1796,31,teamblack | pbgothic | lavin_magic,The+monk,Lewis%2C+M.+G.,lavin_magic,gothic,0
31,1796,32,teamblack | pbgothic | lavin_ghost,The+children+of+the+abbey,Roche%2C+Regina+Maria%2C,lavin_ghost,gothic,10
33,1796,34,teamblack | pbgothic | stew | lavin_magic,The+monk,Lewis%2C+M.+G.,lavin_magic,gothic,4
34,1798,35,teamred | pbgothic,Wieland%3B+or%2C+The+transfor,Brown%2C+Charles+Brockden%2C,no_lavin_tag,gothic,4
35,1799,36,teamred | pbgothic | lavin_magic | lavin_deranged,St.+Leon%3A+a+tale+of+the+s,Godwin%2C+William%2C,lavin_multi,gothic,6
43,1801,44,teamblack | stangothic,Grasville+Abbey,Moore%2C+George%2C,no_lavin_tag,gothic,0
44,1802,45,teamblack | stangothic,The+white+knight%2C+or%2C+The+monastery+of+Morne,Melville%2C+Theodore.,no_lavin_tag,gothic,5
47,1803,48,teamred | stangothic,Don+Raphael,Walker%2C+George%2C,no_lavin_tag,gothic,5
48,1803,49,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
50,1803,51,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
52,1803,53,teamblack | stangothic | stew,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
53,1803,54,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
54,1803,55,teamred | stangothic | stew,Right+and+wrong%3B+or%2C+The+kinsmen+of+Naples,Young%2C+Mary+Julia.,no_lavin_tag,gothic,15
56,1806,57,teamblack | stangothic | stew,Vivonio%2C+or%2C+The+hour+of+retribution,Frances%2C+Sophia+L.,no_lavin_tag,gothic,0
58,1807,59,teamred | stangothic,The+discarded+son%3B+or%2C+Haunt+of+the+banditti,Roche%2C+Regina+Maria%2C,no_lavin_tag,gothic,3
59,1807,60,teamblack | pbgothic,The+libertine%3B,Dacre%2C+Charlotte%2C,no_lavin_tag,gothic,4
60,1807,61,teamred | stangothic,The+friar+Hildargo,Mortimer%2C+Edward%2C,no_lavin_tag,gothic,0
